Timestamp,Method,URL,StatusCode,StatusMessage
2024-10-21T06:27:15.348Z,POST,/users/signup,400,Bad Request
2024-10-21T06:27:36.448Z,POST,/users/signup,201,Created
2024-10-21T06:28:41.103Z,POST,/users/signin,200,OK
2024-10-21T06:29:46.584Z,POST,/users/10/landmark,401,Unauthorized
2024-10-21T06:29:54.779Z,POST,/users/10/landmark,401,Unauthorized
2024-10-21T06:29:59.251Z,POST,/users/10/landmark,401,Unauthorized
2024-10-21T07:16:55.664Z,POST,/users,404,Not Found
2024-10-21T07:17:13.230Z,POST,/users/signup,400,Bad Request
2024-10-21T07:19:19.013Z,POST,/users/signup,400,Bad Request
2024-10-21T07:19:32.733Z,POST,/users/signup,201,Created
2024-10-21T07:19:54.315Z,POST,/users/signin,500,Internal Server Error
2024-10-21T07:19:59.835Z,POST,/users/signin,500,Internal Server Error
2024-10-21T07:20:20.385Z,GET,/users,200,OK
2024-10-21T07:20:57.206Z,POST,/users/signin,500,Internal Server Error
2024-10-21T07:21:14.481Z,POST,/users/1,404,Not Found
2024-10-21T07:21:19.287Z,GET,/users/1,200,OK
2024-10-21T07:21:39.832Z,PUT,/users/1,403,Forbidden
2024-10-21T07:22:11.239Z,POST,/users/signup,201,Created
2024-10-21T07:23:47.312Z,POST,/users/signup,400,Bad Request
2024-10-21T07:26:04.809Z,POST,/users/signup,201,Created
2024-10-21T07:26:20.567Z,POST,/users/signin,200,OK
2024-10-21T07:26:40.148Z,GET,/users,200,OK
2024-10-21T07:28:12.306Z,PUT,/users/3,200,OK
2024-10-21T07:28:28.294Z,PUT,/users/3,200,OK
2024-10-21T07:28:36.982Z,PUT,/users/3,401,Unauthorized
2024-10-21T07:28:40.165Z,PUT,/users/3,404,Not Found
2024-10-21T07:28:46.456Z,PUT,/users/3,200,OK
2024-10-21T07:29:04.299Z,DELETE,/users/3,401,Unauthorized
2024-10-21T07:29:09.411Z,DELETE,/users/3,204,No Content
2024-10-21T07:29:36.008Z,POST,/users/signin,200,OK
2024-10-21T07:29:38.721Z,POST,/users/signin,200,OK
2024-10-21T07:29:55.787Z,POST,/users/username/user1,404,Not Found
2024-10-21T07:29:59.343Z,GET,/users/username/user1,200,OK
2024-10-21T07:30:03.365Z,GET,/users/username/user,200,OK
2024-10-21T07:30:05.089Z,GET,/users/username/user2,200,OK
2024-10-21T07:30:37.517Z,POST,/users/signup,201,Created
2024-10-21T07:30:49.905Z,POST,/users/signin,200,OK
2024-10-21T07:31:47.456Z,POST,/users/1/events,403,Forbidden
2024-10-21T07:31:53.733Z,POST,/users/3/events,403,Forbidden
2024-10-21T07:31:56.945Z,POST,/users/4/events,400,Bad Request
